po_line_id,po_id,order_date,supplier_id,part_id,warehouse_id,quantity_ordered,promised_date,received_date,quantity_received,unit_cost_gbp,order_status
POL000032,PO000011,2025-11-16,S003,P0067,W04,6,2025-12-10,2025-12-03,6,138.58,Partial
POL000033,PO000011,2026-04-05,S025,P0071,W03,255,2026-04-21,2026-04-25,255,347.14,Complete
POL000034,PO000012,2026-01-15,S003,P0034,W04,339,2026-02-05,2026-01-31,339,238.53,Complete
POL000035,PO000012,2025-02-13,S043,P0009,W05,192,2025-02-28,2025-02-20,192,341.92,Complete
POL000036,PO000012,2025-06-22,S029,P0040,W03,161,2025-07-07,2025-07-20,161,352.18,Complete
POL000037,PO000013,2025-04-17,S003,P0009,W02,167,2025-05-13,2025-05-17,167,306.06,Complete
POL000038,PO000013,2026-03-17,S030,P0010,W03,375,2026-03-26,2026-03-25,375,296.49,Complete
POL000039,PO000013,2025-01-22,S021,P0116,W03,107,2025-01-29,2025-01-23,83,288.85,Complete
POL000040,PO000014,2025-05-02,S003,P0094,W03,487,2025-05-26,2025-05-23,487,573.13,Complete
POL000041,PO000014,2025-12-25,S047,P0005,W02,108,2026-01-23,2026-01-21,108,587.35,Complete
POL000042,PO000014,2026-02-21,S019,P0042,W03,211,2026-03-17,2026-03-16,206,611.07,Complete
POL000043,PO000015,2025-10-29,S002,P0031,W02,496,2025-11-20,2025-11-20,496,167.37,Complete
POL000044,PO000015,2026-06-01,S030,P0117,W05,19,2026-06-11,2026-06-06,19,260.36,Complete
POL000045,PO000015,2026-07-06,S019,P0053,W03,171,2026-08-02,2026-07-30,171,542.38,Complete
POL000046,PO000016,2025-03-21,S032,P0032,W05,425,2025-04-13,2025-04-05,398,26.02,Complete
POL000047,PO000016,2026-07-26,S008,P0077,W02,161,2026-08-01,2026-07-23,161,88.47,Complete
POL000048,PO000016,2026-01-04,S040,P0058,W02,140,2026-01-17,2026-01-10,140,172.97,Complete
POL000049,PO000017,2026-01-17,S021,P0023,W02,5,2026-01-26,2026-01-24,5,81.24,Complete
POL000050,PO000017,2025-02-27,S021,P0037,W03,78,2025-03-04,2025-03-04,78,214.91,Complete
POL000051,PO000017,2026-01-09,S039,P0016,W04,102,2026-01-17,2026-01-21,102,353.65,Complete
POL000052,PO000018,2026-03-12,S027,P0084,W03,440,2026-04-03,2026-04-19,440,530.54,Complete
POL000053,PO000018,2025-12-15,S001,P0117,W05,275,2026-01-07,2026-01-12,253,271.63,Complete
POL000054,PO000018,2025-02-20,S028,P0098,W03,120,2025-03-10,2025-03-10,120,65.64,Complete
POL000055,PO000019,2025-11-10,S032,P0046,W05,405,2025-12-01,2025-12-06,405,623.45,Complete
POL000056,PO000019,2026-07-16,S015,P0059,W01,304,2026-07-27,2026-07-17,294,635.19,Complete
POL000057,PO000019,2026-03-11,S009,P0008,W02,161,2026-03-27,2026-04-01,161,51.62,Complete
POL000058,PO000020,2025-03-24,S003,P0045,W04,130,2025-04-14,2025-04-15,130,279.54,Complete
POL000059,PO000020,2026-07-30,S041,P0004,W02,114,2026-08-22,2026-09-07,114,16.57,Complete
POL000060,PO000020,2026-07-30,S001,P0090,W04,357,2026-08-20,2026-08-07,337,326.73,Complete
POL000061,PO000021,2025-04-12,S029,P0110,W03,359,2025-04-23,2025-04-30,359,538.9,Complete
POL000062,PO000021,2026-04-26,S041,P0023,W03,326,2026-05-19,2026-05-21,326,69.73,Complete
POL000063,PO000021,2025-09-02,S017,P0081,W03,226,2025-09-18,2025-09-26,226,135.45,Complete
POL000064,PO000022,2025-12-23,S010,P0072,W05,257,2025-12-29,2025-12-26,257,95.61,Complete
POL000065,PO000022,2025-09-25,S035,P0051,W04,449,2025-10-02,2025-10-06,449,378.46,Complete
POL000066,PO000022,2026-04-15,S031,P0089,W05,279,2026-05-05,2026-05-06,279,184.14,Partial
POL000067,PO000023,2026-08-21,S001,P0082,W01,309,2026-09-10,2026-09-17,309,569.28,Open
POL000068,PO000023,2026-04-23,S028,P0033,W05,117,2026-05-10,2026-05-12,117,405.14,Complete
POL000069,PO000023,2026-07-13,S001,P0096,W05,230,2026-08-05,2026-08-15,230,372.24,Complete
POL000070,PO000024,2026-07-22,S020,P0079,W05,15,2026-08-03,2026-08-01,15,477.4,Complete
POL000071,PO000024,2025-02-24,S015,P0038,W03,233,2025-03-07,2025-03-03,233,585.79,Complete
POL000072,PO000024,2025-06-02,S041,P0089,W03,401,2025-06-24,2025-06-22,401,195.42,Complete
POL000073,PO000025,2026-03-10,S047,P0077,W03,337,2026-04-06,2026-04-11,337,77.83,Complete
POL000074,PO000025,2025-12-21,S034,P0015,W05,445,2026-01-04,2026-01-09,445,225.15,Complete
POL000075,PO000025,2025-01-31,S036,P0020,W05,173,2025-02-27,2025-02-21,166,645.94,Complete
POL000076,PO000026,2025-02-27,S002,P0039,W05,390,2025-03-20,2025-03-17,390,176.73,Complete
POL000077,PO000026,2025-11-09,S004,P0006,W05,367,2025-11-18,2025-11-21,367,320.74,Complete
POL000078,PO000026,2026-01-05,S038,P0049,W04,355,2026-01-29,2026-02-06,330,616.78,Complete
POL000079,PO000027,2025-04-11,S021,P0056,W02,400,2025-04-19,2025-04-17,400,64.06,Complete
POL000080,PO000027,2025-04-13,S025,P0094,W01,238,2025-04-27,2025-04-21,238,618.01,Complete
POL000081,PO000027,2025-03-19,S034,P0021,W05,174,2025-04-02,2025-04-09,174,94.3,Complete
POL000082,PO000028,2025-12-05,S017,P0069,W01,294,2025-12-17,2025-12-09,294,525.85,Complete
POL000083,PO000028,2025-01-05,S033,P0080,W01,195,2025-02-04,2025-02-08,195,353.66,Complete
POL000084,PO000028,2025-12-10,S035,P0054,W03,347,2025-12-20,2025-12-10,326,443.58,Complete
POL000085,PO000029,2025-10-13,S012,P0109,W04,433,2025-11-02,2025-11-03,433,551.62,Complete
POL000086,PO000029,2025-10-07,S033,P0039,W04,17,2025-11-03,2025-11-03,17,182.54,Complete
POL000087,PO000029,2026-02-12,S009,P0049,W02,312,2026-03-02,2026-02-27,312,594.9,Complete
POL000088,PO000030,2025-11-10,S015,P0001,W03,214,2025-11-25,2025-12-04,214,383.52,Complete
POL000089,PO000030,2026-03-13,S038,P0050,W05,56,2026-04-01,2026-04-02,35,603.46,Complete
POL000090,PO000030,2026-04-04,S048,P0003,W04,116,2026-04-16,2026-04-17,116,397.74,Complete
POL000091,PO000031,2026-07-07,S004,P0119,W05,413,2026-07-18,2026-07-18,413,425.02,Complete
POL000092,PO000031,2026-04-25,S032,P0029,W04,185,2026-05-19,2026-05-16,185,77.77,Complete
POL000093,PO000031,2025-11-07,S028,P0098,W01,48,2025-11-23,2025-12-05,48,70.47,Complete
POL000094,PO000032,2025-10-23,S030,P0015,W02,375,2025-11-02,2025-11-01,375,220.43,Complete
POL000095,PO000032,2025-05-22,S038,P0033,W01,122,2025-06-13,2025-06-25,99,363.68,Complete
POL000096,PO000032,2025-12-26,S004,P0015,W01,184,2026-01-05,2026-01-02,184,220.92,Complete
POL000097,PO000033,2025-03-25,S036,P0045,W05,102,2025-04-21,2025-04-23,102,306.98,Complete
POL000098,PO000033,2026-07-13,S014,P0073,W04,370,2026-08-03,2026-08-12,366,12.23,Complete
POL000099,PO000033,2026-05-23,S008,P0051,W05,459,2026-05-29,2026-05-26,459,314.24,Complete
POL000100,PO000034,2025-03-13,S022,P0073,W02,486,2025-03-29,2025-03-29,486,11.74,Complete
POL000101,PO000034,2026-04-17,S002,P0097,W05,42,2026-05-11,2026-05-22,42,390.26,Complete
POL000102,PO000034,2025-03-12,S031,P0006,W05,462,2025-03-28,2025-04-06,462,335.52,Partial
POL000103,PO000035,2026-03-09,S028,P0051,W01,319,2026-03-23,2026-03-25,319,378.17,Complete
POL000104,PO000035,2025-02-22,S025,P0072,W05,414,2025-03-10,2025-03-04,394,99.86,Complete
POL000105,PO000035,2025-10-20,S002,P0063,W01,42,2025-11-10,2025-11-13,42,101.34,Complete
POL000106,PO000036,2026-01-30,S037,P0018,W03,427,2026-02-19,2026-02-18,427,15.41,Complete
POL000107,PO000036,2026-03-14,S002,P0025,W01,167,2026-04-04,2026-03-31,167,182.11,Complete
POL000108,PO000036,2025-09-09,S013,P0046,W03,199,2025-10-04,2025-10-09,199,661.22,Complete
POL000109,PO000037,2026-07-07,S020,P0079,W01,448,2026-07-20,2026-07-14,448,495.5,Complete
POL000110,PO000037,2026-04-10,S034,P0119,W05,367,2026-04-23,2026-04-25,367,434.23,Complete
POL000111,PO000037,2025-05-05,S020,P0045,W03,258,2025-05-19,2025-05-23,254,317.45,Complete
POL000112,PO000038,2026-02-07,S040,P0063,W05,335,2026-02-20,2026-02-25,335,101.12,Complete
POL000113,PO000038,2026-03-15,S045,P0037,W03,181,2026-04-07,2026-04-01,181,191.24,Complete
POL000114,PO000038,2025-07-20,S037,,W03,491,2025-08-11,2025-08-22,491,651.66,Complete
POL000115,PO000039,2026-03-19,S002,P0048,W04,39,2026-04-10,2026-04-13,39,469.6,Complete
POL000116,PO000039,2026-06-24,S038,P0042,W05,289,2026-07-16,2026-07-17,289,589.58,Complete
POL000117,PO000039,2026-05-06,S010,P0019,W02,26,2026-05-17,2026-05-11,26,496.39,Complete
POL000118,PO000040,2026-04-03,S043,P0081,W03,217,2026-04-20,2026-04-17,217,135.32,Complete
POL000119,PO000040,2026-01-16,S047,P0032,W02,256,2026-02-10,2026-02-09,256,25.91,Complete
POL000120,PO000040,2025-06-12,S005,P0027,W01,419,2025-06-25,2025-06-26,419,529.48,Complete
POL000121,PO000041,2026-04-23,S005,P0047,W05,469,2026-05-05,2026-05-08,469,630.38,Complete
POL000122,PO000041,2025-08-07,S034,P0116,W03,376,2025-08-22,2025-08-21,373,286.96,Complete
POL000123,PO000041,2025-11-16,S007,P0077,W02,482,2025-12-05,2025-12-14,482,80.64,Complete
POL000124,PO000042,2025-07-08,S047,P0052,W04,66,2025-08-05,2025-08-04,66,193.46,Complete
POL000125,PO000042,2025-07-07,S026,P0099,W05,265,2025-07-16,2025-07-18,265,98.39,Complete
POL000126,PO000042,2025-04-05,S028,P0003,W05,300,2025-04-20,2025-04-28,300,356.03,Complete
POL000127,PO000043,2026-07-31,S042,P0041,W03,43,2026-08-25,2026-08-23,43,169.64,Complete
POL000128,PO000043,2025-03-30,S011,P0065,W01,298,2025-04-22,2025-04-16,298,363.47,Complete
POL000129,PO000043,2025-02-21,S027,P0059,W03,26,2025-03-16,2025-03-15,26,628.55,Complete
POL000130,PO000044,2026-07-16,S048,P0082,W03,317,2026-07-25,2026-07-31,295,539.86,Complete
POL000131,PO000044,2025-11-30,S002,P0085,W02,114,2025-12-26,2025-12-28,114,89.64,Complete
POL000132,PO000044,2025-09-20,S009,P0055,W03,471,2025-10-09,2025-10-14,471,259.82,Complete
POL000133,PO000045,2026-03-19,S008,P0112,W03,166,2026-03-25,2026-03-19,166,334.27,Complete
POL000134,PO000045,2025-08-18,S017,P0112,W05,303,2025-09-03,2025-08-26,303,335.24,Complete
POL000135,PO000045,2025-03-18,S007,P0058,W01,306,2025-04-04,2025-04-09,306,173.0,Complete
POL000136,PO000046,2026-03-14,S009,P0109,W04,435,2026-03-31,2026-04-03,435,572.23,Complete
POL000137,PO000046,2025-04-16,S041,P0077,W04,171,2025-05-12,2025-05-08,171,76.78,Complete
POL000138,PO000046,2025-11-28,S023,P0017,W02,182,2025-12-25,2025-12-20,182,314.56,Complete
POL000139,PO000047,2026-07-24,S018,P0015,W02,343,2026-08-08,2026-08-08,343,210.77,Complete
POL000140,PO000047,2026-07-16,S021,P0010,W05,33,2026-07-20,2026-07-21,33,302.8,Complete
POL000141,PO000047,2025-08-05,S047,P0026,W02,279,2025-09-03,2025-08-29,279,446.57,Complete
POL000142,PO000048,2026-04-14,S024,P0038,W04,190,2026-04-22,2026-04-23,190,604.08,Complete
POL000143,PO000048,2026-01-03,S023,P0009,W03,489,2026-01-27,2026-01-20,489,318.17,Complete
POL000144,PO000048,2025-10-15,S045,P0073,W05,268,2025-11-11,2025-11-09,268,10.74,Complete
POL000145,PO000049,2025-03-25,S002,P0050,W04,386,2025-04-17,2025-04-11,386,588.56,Complete
POL000146,PO000049,2025-08-14,S023,P0073,W05,417,2025-09-09,2025-09-10,405,11.3,Complete
POL000147,PO000049,2026-01-27,S036,P0061,W05,77,2026-02-21,2026-02-19,77,78.22,Complete
POL000148,PO000050,2026-08-15,S025,P0033,W01,317,2026-08-29,2026-09-07,317,360.78,Open
POL000149,PO000050,2025-01-03,S042,P0074,W05,341,2025-01-25,2025-01-28,341,162.39,Complete
POL000150,PO000050,2026-03-07,S043,P0115,W05,223,2026-03-20,2026-03-14,223,421.59,Complete
POL000151,PO000051,2026-05-23,S017,P0039,W01,103,2026-06-05,2026-06-11,103,189.36,Complete
POL000152,PO000051,2026-07-25,S040,P0037,W03,233,2026-08-06,2026-08-06,233,231.72,Complete
POL000153,PO000051,2025-09-12,S012,P0062,W02,30,2025-10-06,2025-10-12,30,511.01,Complete
POL000154,PO000052,2025-03-13,S012,P0097,W05,498,2025-04-03,2025-03-28,498,450.56,Complete
POL000155,PO000052,2025-06-12,S047,P0064,W02,48,2025-07-06,2025-07-11,48,132.31,Complete
POL000156,PO000052,2026-05-26,S001,P0100,W01,74,2026-06-17,2026-06-30,74,283.35,Complete
POL000157,PO000053,2026-06-11,S017,P0009,W01,72,2026-06-25,2026-06-30,66,296.02,Partial
POL000158,PO000053,2026-01-18,S031,P0012,W04,106,2026-02-08,2026-02-06,106,411.53,Complete
POL000159,PO000053,2025-03-15,S020,P0049,W01,95,2025-03-26,2025-04-03,95,583.57,Complete
POL000160,PO000054,2025-03-15,S041,P0028,W02,314,2025-04-06,2025-04-04,295,477.38,Complete
POL000161,PO000054,2025-10-14,S013,P0003,W03,60,2025-11-12,2025-11-16,60,422.97,Complete
POL000162,PO000054,2025-12-19,S027,P0026,W01,352,2026-01-07,2026-01-21,352,431.79,Complete
POL000163,PO000055,2025-01-20,S007,P0033,W01,206,2025-02-06,2025-02-04,206,368.96,Partial
POL000164,PO000055,2026-02-16,S011,P0111,W05,200,2026-03-12,2026-03-16,200,158.37,Complete
POL000165,PO000055,2025-11-23,S009,P0094,W03,257,2025-12-09,2025-12-21,257,662.23,Complete
POL000166,PO000056,2025-01-08,S036,P0043,W02,20,2025-02-02,2025-02-09,20,111.34,Complete
POL000167,PO000056,2025-02-27,S010,P0115,W05,252,2025-03-10,2025-03-15,252,431.38,Complete
POL000168,PO000056,2025-09-30,S033,P0101,W01,263,2025-10-28,2025-10-19,263,599.27,Complete
POL000169,PO000057,2026-03-10,S017,P0031,W02,375,2026-03-23,2026-03-19,375,158.13,Complete
POL000170,PO000057,2026-05-11,S028,P0058,W05,76,2026-05-29,2026-06-04,76,176.77,Complete
POL000171,PO000057,2025-09-16,S042,P0111,W04,30,2025-10-08,2025-10-08,30,150.83,Complete
POL000172,PO000058,2025-06-27,S042,P0055,W03,32,2025-07-24,2025-07-23,32,235.27,Complete
POL000173,PO000058,2026-08-04,S001,P0045,W05,479,2026-08-28,2026-09-05,479,265.47,Open
POL000174,PO000058,2025-10-03,S038,P0109,W03,175,2025-10-22,2025-10-27,175,524.64,Complete
POL000175,PO000059,2025-07-09,S046,P0080,W04,121,2025-07-22,2025-07-19,117,400.03,Complete
POL000176,PO000059,2025-09-23,S033,P0053,W05,72,2025-10-22,2025-10-28,72,490.14,Complete
POL000177,PO000059,2025-01-08,S009,P0105,W03,131,2025-01-28,2025-01-24,131,325.15,Complete
POL000178,PO000060,2025-07-01,S032,P0090,W03,222,2025-07-23,2025-07-16,222,349.16,Complete
POL000179,PO000060,2025-11-06,S031,,W04,485,2025-11-26,2025-11-29,485,644.41,Complete
POL000180,PO000060,2026-07-06,S032,P0051,W01,382,2026-07-30,2026-07-25,382,365.88,Complete
POL000181,PO000061,2026-03-19,S021,P0006,W03,426,2026-03-27,2026-03-21,426,325.69,Complete
POL000182,PO000061,2026-04-14,S026,P0013,W04,28,2026-04-23,2026-04-19,28,342.87,Complete
POL000183,PO000061,2025-11-23,S032,P0115,W02,289,2025-12-14,2025-12-16,289,421.54,Complete
POL000184,PO000062,2025-03-08,S023,P0007,W04,252,2025-04-04,2025-04-10,252,501.44,Complete
POL000185,PO000062,2025-08-23,S038,P0101,W03,101,2025-09-14,2025-09-14,101,668.76,Complete
POL000186,PO000062,2026-08-22,S035,P0025,W01,251,2026-09-01,2026-08-27,251,194.64,Open
POL000187,PO000063,2025-01-27,S015,P0065,W01,294,2025-02-12,2025-02-07,294,418.05,Complete
POL000188,PO000063,2026-06-12,S030,P0087,W03,5,2026-06-21,2026-06-14,5,593.37,Complete
POL000189,PO000063,2026-02-15,S037,P0119,W01,490,2026-03-09,2026-03-14,490,433.94,Complete
POL000190,PO000064,2025-06-20,S024,P0045,W02,370,2025-06-30,2025-06-26,370,311.54,Complete
POL000191,PO000064,2026-04-12,S035,P0112,W03,463,2026-04-19,2026-04-22,463,386.03,Complete
POL000192,PO000064,2026-05-18,S007,P0055,W01,49,2026-06-04,2026-05-26,49,242.48,Complete
POL000193,PO000065,2025-01-26,S019,P0105,W03,34,2025-02-24,2025-03-04,34,310.42,Complete
POL000194,PO000065,2025-03-05,S034,P0013,W02,466,2025-03-21,2025-03-22,466,304.8,Complete
POL000195,PO000065,2026-02-04,S043,P0033,W02,466,2026-02-21,2026-02-14,466,384.77,Complete
POL000196,PO000066,2026-08-23,S032,P0075,W05,321,2026-09-11,2026-09-09,321,81.5,Open
POL000197,PO000066,2025-01-15,S032,P0085,W05,104,2025-02-05,2025-02-07,104,97.04,Complete
POL000198,PO000066,2026-02-04,S017,P0097,W02,147,2026-02-16,2026-02-12,147,425.34,Complete
POL000199,PO000067,2025-03-23,S034,P0043,W05,398,2025-04-07,2025-04-10,398,106.26,Complete
POL000200,PO000067,2026-01-26,S018,P0075,W02,463,2026-02-07,2026-02-15,463,81.48,Complete
POL000201,PO000067,2026-01-09,S003,P0075,W02,337,2026-01-31,2026-02-06,337,90.67,Complete
POL000202,PO000068,2025-02-24,S012,P0119,W05,203,2025-03-17,2025-03-18,203,440.44,Complete
POL000203,PO000068,2026-02-13,S030,P0015,W01,411,2026-02-24,2026-03-05,411,230.01,Complete
POL000204,PO000068,2026-06-23,S047,P0002,W02,133,2026-07-20,2026-07-22,133,232.8,Complete
POL000205,PO000069,2026-06-03,S024,P0069,W05,68,2026-06-12,2026-06-13,68,517.58,Complete
POL000206,PO000069,2025-01-18,S042,P0002,W05,195,2025-02-12,2025-02-13,195,222.75,Complete
POL000207,PO000069,2025-05-28,S038,P0024,W05,236,2025-06-19,2025-06-21,236,419.75,Complete
POL000208,PO000070,2025-05-25,S027,P0061,W05,307,2025-06-13,2025-06-17,307,79.55,Complete
POL000209,PO000070,2025-09-29,S039,P0033,W05,345,2025-10-06,2025-10-02,345,359.94,Complete
POL000210,PO000070,2025-03-27,S020,P0032,W03,363,2025-04-11,2025-04-18,363,28.72,Complete
POL000211,PO000071,2026-05-28,S022,P0042,W02,106,2026-06-15,2026-06-23,106,574.3,Complete
POL000212,PO000071,2026-04-12,S036,P0083,W02,332,2026-05-08,2026-05-23,332,488.43,Complete
POL000213,PO000071,2026-05-01,S031,P0044,W01,27,2026-05-18,2026-05-10,27,29.29,Complete
POL000214,PO000072,2025-04-29,S026,P0096,W01,461,2025-05-10,2025-05-11,461,336.15,Complete
POL000215,PO000072,2025-01-09,S999,P0020,W05,223,2025-01-15,2025-01-12,222,568.03,Complete
POL000216,PO000072,2026-07-01,S047,P0013,W01,478,2026-07-30,2026-08-04,478,306.43,Complete
POL000217,PO000073,2025-06-23,S004,P0020,W04,434,2025-06-30,2025-07-08,434,558.27,Complete
POL000218,PO000073,2026-01-29,S003,P0111,W02,102,2026-02-23,2026-02-24,102,168.02,Complete
POL000219,PO000073,2026-06-30,S023,P0034,W04,60,2026-07-23,2026-07-23,60,238.05,Complete
POL000220,PO000074,2025-01-22,S002,P0004,W03,456,2025-02-15,2025-02-14,456,17.51,Complete
POL000221,PO000074,2025-01-04,S017,P0038,W01,248,2025-01-16,2025-01-16,248,693.11,Complete
POL000222,PO000074,2025-01-04,S028,P0083,W02,57,2025-01-20,2025-01-23,57,452.12,Complete
POL000223,PO000075,2025-04-04,S020,P0044,W04,306,2025-04-19,2025-04-22,306,32.96,Complete
POL000224,PO000075,2025-01-31,S010,P0047,W05,478,2025-02-09,2025-02-19,478,620.05,Complete
POL000225,PO000075,2026-05-07,S014,P0011,W02,302,2026-05-28,2026-06-07,302,594.01,Complete
POL000226,PO000076,2025-12-30,S030,P0081,W02,133,2026-01-08,2026-01-14,133,122.82,Complete
POL000227,PO000076,2026-08-12,S046,P0027,W04,171,2026-08-25,2026-08-21,171,510.27,Open
POL000228,PO000076,2026-04-26,S038,P0012,W03,136,2026-05-20,2026-05-14,110,364.42,Complete
POL000229,PO000077,2026-08-01,S027,P0086,W01,271,2026-08-21,2026-09-09,271,81.33,Open
POL000230,PO000077,2025-05-24,S007,P0113,W01,213,2025-06-10,2025-06-14,213,396.06,Complete
POL000231,PO000077,2025-06-22,S012,P0074,W02,174,2025-07-11,2025-07-10,174,140.28,Complete
POL000232,PO000078,2026-05-25,S022,P0113,W02,94,2026-06-11,2026-06-07,94,430.55,Complete
POL000233,PO000078,2025-05-27,S012,P0049,W01,19,2025-06-18,2025-06-17,18,632.97,Complete
POL000234,PO000078,2025-02-04,S034,P0063,W04,414,2025-02-20,2025-02-23,414,111.34,Complete
POL000235,PO000079,2026-02-06,S018,P0043,W03,402,2026-02-21,2026-02-23,402,104.34,Complete
POL000236,PO000079,2026-04-26,S041,P0062,W04,66,2026-05-21,2026-05-23,66,602.96,Complete
POL000237,PO000079,2026-08-04,S013,P0108,W01,117,2026-08-30,2026-08-24,117,77.0,Open
POL000238,PO000080,2026-07-11,S024,P0077,W03,222,2026-07-22,2026-07-24,222,84.53,Complete
POL000239,PO000080,2025-03-14,S035,P0004,W03,299,2025-03-21,2025-03-26,299,18.38,Complete
POL000240,PO000080,2026-04-09,S010,P0070,W03,454,2026-04-15,2026-04-12,439,676.74,Complete
POL000241,PO000081,2026-05-23,S037,P0046,W05,350,2026-06-15,2026-06-09,350,647.14,Complete
POL000242,PO000081,2026-02-23,S029,P0066,W03,319,2026-03-07,2026-03-09,319,589.7,Complete
POL000243,PO000081,2026-05-07,S032,P0067,W03,373,2026-05-28,2026-05-17,373,134.49,Complete
POL000244,PO000082,2026-05-18,S022,P0071,W05,305,2026-06-06,2026-06-05,305,301.1,Complete
POL000245,PO000082,2025-09-25,S045,P0104,W02,465,2025-10-21,2025-10-26,465,482.48,Complete
POL000246,PO000082,2025-01-25,S038,P0104,W02,497,2025-02-17,2025-02-17,483,530.72,Complete
POL000247,PO000083,2025-10-01,S010,P0117,W01,228,2025-10-12,2025-10-05,228,252.54,Complete
POL000248,PO000083,2025-05-02,S027,P0074,W04,16,2025-05-22,2025-06-01,16,160.49,Complete
POL000249,PO000083,2025-03-10,S044,P0035,W01,497,2025-04-01,2025-04-03,497,577.87,Complete
POL000250,PO000084,2025-03-16,S014,P0024,W02,163,2025-04-07,2025-04-10,163,454.05,Complete
POL000251,PO000084,2026-02-23,S026,P0102,W03,137,2026-03-01,2026-03-07,111,379.46,Complete
POL000252,PO000084,2025-10-30,S037,P0110,W03,66,2025-11-19,2025-11-20,66,541.18,Complete
POL000253,PO000085,2025-11-20,S014,P0005,W01,382,2025-12-13,2025-12-13,382,605.7,Complete
POL000254,PO000085,2026-03-24,S025,P0026,W03,96,2026-04-12,2026-04-20,96,465.35,Complete
POL000255,PO000085,2025-11-25,S027,P0082,W05,482,2025-12-15,2025-12-12,482,525.61,Complete
POL000256,PO000086,2026-01-14,S009,P0020,W01,111,2026-02-04,2026-02-11,111,640.45,Complete
POL000257,PO000086,2025-02-21,S009,P0007,W03,40,2025-03-10,2025-03-05,40,481.61,Complete
POL000258,PO000086,2026-05-26,S028,P0120,W03,315,2026-06-09,2026-06-06,315,598.67,Complete
POL000259,PO000087,2025-09-27,S009,P0012,W02,106,2025-10-18,2025-10-21,106,374.88,Complete
POL000260,PO000087,2025-04-04,S046,P0026,W03,139,2025-04-17,2025-04-26,137,406.06,Complete
POL000261,PO000087,2026-05-03,S026,P0119,W02,57,2026-05-10,2026-05-12,57,438.13,Complete
